prompt_variant,category,subcategory,difficulty,evaluation_criteria,original_prompt,vision_question,vlm 
p1,Professional Studio,Camera & Lighting,Hard,DOF + focal length + lighting all match,"A portrait shot at 85mm f/1.4 with creamy bokeh background, backlit with warm rim light separating the subject from a blurred garden","The prompt specified camera/lighting: ""A portrait shot at 85mm f/1.4 with creamy bokeh background, backlit with warm rim light separating the subject from a blurred garden"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Camera & Lighting,Hard,DOF + focal length + lighting all match,"A street photograph with shallow depth of field as if shot at 50mm f/1.8, subject sharp with soft city lights in the background","The prompt specified camera/lighting: ""A street photograph with shallow depth of field as if shot at 50mm f/1.8, subject sharp with soft city lights in the background"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Camera & Lighting,Hard,DOF + focal length + lighting all match,"A food photograph shot from above at 35mm f/2.8 with natural window light from the left, slight vignette, warm color temperature","The prompt specified camera/lighting: ""A food photograph shot from above at 35mm f/2.8 with natural window light from the left, slight vignette, warm color temperature"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Camera & Lighting,Medium,Lighting pattern recognizably matches name,"A portrait lit with classic Rembrandt lighting — triangle of light on the shadowed cheek, moody atmosphere","The prompt specified camera/lighting: ""A portrait lit with classic Rembrandt lighting — triangle of light on the shadowed cheek, moody atmosphere"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Camera & Lighting,Medium,Lighting pattern recognizably matches name,"A landscape photograph bathed in golden hour light — long warm shadows, orange sky, soft glow","The prompt specified camera/lighting: ""A landscape photograph bathed in golden hour light — long warm shadows, orange sky, soft glow"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Camera & Lighting,Medium,Lighting pattern recognizably matches name,"A high-key portrait of a person against a bright white background, minimal shadows, airy and luminous","The prompt specified camera/lighting: ""A high-key portrait of a person against a bright white background, minimal shadows, airy and luminous"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Color Precision,Easy,Color matches name — no ambiguity,A bright red sports car parked on a gray asphalt road — the red is vivid and unambiguous,"The prompt specified exact colors: ""A bright red sports car parked on a gray asphalt road — the red is vivid and unambiguous"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Color Precision,Easy,Color matches name — no ambiguity,A woman wearing a royal blue evening dress against a neutral background,"The prompt specified exact colors: ""A woman wearing a royal blue evening dress against a neutral background"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Color Precision,Easy,Color matches name — no ambiguity,A field of pure sunflower yellow flowers under a clear blue sky,"The prompt specified exact colors: ""A field of pure sunflower yellow flowers under a clear blue sky"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Color Precision,Extreme,Gradient direction + endpoint colors correct,"A smooth gradient on a wall going from #FF0000 (red) on the left to #0000FF (blue) on the right, transitioning evenly through purple","The prompt specified exact colors: ""A smooth gradient on a wall going from #FF0000 (red) on the left to #0000FF (blue) on the right, transitioning evenly through purple"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Color Precision,Extreme,Gradient direction + endpoint colors correct,A sunset sky gradient on a flat surface from #FF6B35 (orange) at the bottom to #1B1464 (deep indigo) at the top,"The prompt specified exact colors: ""A sunset sky gradient on a flat surface from #FF6B35 (orange) at the bottom to #1B1464 (deep indigo) at the top"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Color Precision,Extreme,Gradient direction + endpoint colors correct,A horizontal banner with a gradient from #00C9FF (cyan) on the left to #92FE9D (mint green) on the right,"The prompt specified exact colors: ""A horizontal banner with a gradient from #00C9FF (cyan) on the left to #92FE9D (mint green) on the right"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Color Precision,Hard,All three colors present + correctly assigned,"A minimalist room with walls in #F5E6CC (warm cream), a sofa in #2C3E50 (dark navy), and accent pillows in #E74C3C (bright red)","The prompt specified exact colors: ""A minimalist room with walls in #F5E6CC (warm cream), a sofa in #2C3E50 (dark navy), and accent pillows in #E74C3C (bright red)"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Color Precision,Hard,All three colors present + correctly assigned,"A product flat-lay on a #1A1A2E (deep dark blue) background, with a #F0C27F (soft gold) watch and #FFFFFF (pure white) earbuds","The prompt specified exact colors: ""A product flat-lay on a #1A1A2E (deep dark blue) background, with a #F0C27F (soft gold) watch and #FFFFFF (pure white) earbuds"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Color Precision,Hard,All three colors present + correctly assigned,"A graphic design composition with background #FAFAFA (near-white), main shape #FF4500 (orange-red), and accent lines #333333 (dark charcoal)","The prompt specified exact colors: ""A graphic design composition with background #FAFAFA (near-white), main shape #FF4500 (orange-red), and accent lines #333333 (dark charcoal)"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Color Precision,Medium,Measurable closeness to hex value in output,A bedroom wall painted in #FF6B35 (burnt orange) with white furniture and natural daylight,"The prompt specified exact colors: ""A bedroom wall painted in #FF6B35 (burnt orange) with white furniture and natural daylight"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Color Precision,Medium,Measurable closeness to hex value in output,A forest scene where the foliage is precisely #2D5F2D (dark muted green) with brown tree trunks,"The prompt specified exact colors: ""A forest scene where the foliage is precisely #2D5F2D (dark muted green) with brown tree trunks"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Color Precision,Medium,Measurable closeness to hex value in output,A room with walls in #4A90D9 (medium blue) with warm wooden floor and white trim,"The prompt specified exact colors: ""A room with walls in #4A90D9 (medium blue) with warm wooden floor and white trim"". Do the colors in the image match the described/named colors or hex values? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Photorealism,Easy,Passes for a photo at first glance — no obvious artifacts,A single red sneaker on a clean white background with soft studio lighting and gentle shadow — product photography style,"This should be a studio-quality product shot. The prompt was: ""A single red sneaker on a clean white background with soft studio lighting and gentle shadow — product photography style"". Does it pass for a real photograph at first glance? Any obvious AI artifacts? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Photorealism,Easy,Passes for a photo at first glance — no obvious artifacts,"A clear glass perfume bottle on a reflective black surface with studio lighting, no background distractions","This should be a studio-quality product shot. The prompt was: ""A clear glass perfume bottle on a reflective black surface with studio lighting, no background distractions"". Does it pass for a real photograph at first glance? Any obvious AI artifacts? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Photorealism,Easy,Passes for a photo at first glance — no obvious artifacts,A ripe green apple on a seamless white background with soft side lighting and subtle shadow — catalog style,"This should be a studio-quality product shot. The prompt was: ""A ripe green apple on a seamless white background with soft side lighting and subtle shadow — catalog style"". Does it pass for a real photograph at first glance? Any obvious AI artifacts? Rate: PASS or FAIL.",gemma4-26b 
p1,Spatial Reasoning,Attributes Binding,Easy,Each color on correct object — no swap,A red ball and a blue cube sitting side by side on a white surface,"The prompt asked for specific objects with specific attributes: ""A red ball and a blue cube sitting side by side on a white surface"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Attributes Binding,Easy,Each color on correct object — no swap,A green apple and an orange pumpkin on a wooden cutting board,"The prompt asked for specific objects with specific attributes: ""A green apple and an orange pumpkin on a wooden cutting board"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Attributes Binding,Easy,Each color on correct object — no swap,A yellow taxi and a black limousine parked next to each other on a street,"The prompt asked for specific objects with specific attributes: ""A yellow taxi and a black limousine parked next to each other on a street"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Attributes Binding,Hard,Non-default attributes respected,"A pink fire truck, a blue banana, and a green sun in a surreal landscape","The prompt asked for specific objects with specific attributes: ""A pink fire truck, a blue banana, and a green sun in a surreal landscape"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Attributes Binding,Hard,Non-default attributes respected,"A purple carrot, a red tree with red leaves, and a white watermelon sliced open","The prompt asked for specific objects with specific attributes: ""A purple carrot, a red tree with red leaves, and a white watermelon sliced open"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Attributes Binding,Hard,Non-default attributes respected,"An orange elephant, a yellow penguin, and a silver strawberry arranged on a table","The prompt asked for specific objects with specific attributes: ""An orange elephant, a yellow penguin, and a silver strawberry arranged on a table"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Attributes Binding,Medium,All attributes correctly bound,"A large red circle, a small blue triangle, and a medium green star arranged on a white canvas","The prompt asked for specific objects with specific attributes: ""A large red circle, a small blue triangle, and a medium green star arranged on a white canvas"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Attributes Binding,Medium,All attributes correctly bound,"A tall thin white candle, a short fat red candle, and a medium spiral yellow candle on a shelf","The prompt asked for specific objects with specific attributes: ""A tall thin white candle, a short fat red candle, and a medium spiral yellow candle on a shelf"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Attributes Binding,Medium,All attributes correctly bound,"A big brown horse, a small white rabbit, and a medium-sized black cat standing in a meadow","The prompt asked for specific objects with specific attributes: ""A big brown horse, a small white rabbit, and a medium-sized black cat standing in a meadow"". Is each attribute (color, size, shape) correctly bound to the right object with no swaps? List each object and its observed attributes. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Compositionality,Easy,Both concepts present and combined,A tabby cat wearing oversized red sunglasses,"The prompt combined unusual concepts: ""A tabby cat wearing oversized red sunglasses"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Compositionality,Easy,Both concepts present and combined,A golden retriever wearing a tiny cowboy hat,"The prompt combined unusual concepts: ""A golden retriever wearing a tiny cowboy hat"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Compositionality,Easy,Both concepts present and combined,A penguin holding a colorful umbrella,"The prompt combined unusual concepts: ""A penguin holding a colorful umbrella"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Compositionality,Hard,All elements present and coherent,An octopus wearing a top hat and monocle playing chess on the surface of the moon with Earth visible in the background,"The prompt combined unusual concepts: ""An octopus wearing a top hat and monocle playing chess on the surface of the moon with Earth visible in the background"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Compositionality,Hard,All elements present and coherent,A dinosaur in a business suit giving a PowerPoint presentation in a modern office while drinking coffee,"The prompt combined unusual concepts: ""A dinosaur in a business suit giving a PowerPoint presentation in a modern office while drinking coffee"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Compositionality,Hard,All elements present and coherent,A robot dressed as a pirate sailing a paper boat on a lake of lava while juggling three kittens,"The prompt combined unusual concepts: ""A robot dressed as a pirate sailing a paper boat on a lake of lava while juggling three kittens"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Compositionality,Medium,Both domains convincingly merged,A medieval knight in full armor sitting at a desk typing on a modern laptop,"The prompt combined unusual concepts: ""A medieval knight in full armor sitting at a desk typing on a modern laptop"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Compositionality,Medium,Both domains convincingly merged,A Roman gladiator taking a selfie with a smartphone in the Colosseum,"The prompt combined unusual concepts: ""A Roman gladiator taking a selfie with a smartphone in the Colosseum"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Compositionality,Medium,Both domains convincingly merged,An astronaut in a spacesuit riding a bicycle through a park,"The prompt combined unusual concepts: ""An astronaut in a spacesuit riding a bicycle through a park"". Are ALL described elements present and coherently combined in the image? List each element and whether it's present. Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Counting,Easy,Count correct — binary,Exactly 3 red apples arranged on a wooden table,"Count the objects in this image. The prompt asked for: ""Exactly 3 red apples arranged on a wooden table"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Counting,Easy,Count correct — binary,Exactly 5 yellow rubber ducks sitting in a row on a bathroom shelf,"Count the objects in this image. The prompt asked for: ""Exactly 5 yellow rubber ducks sitting in a row on a bathroom shelf"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Counting,Easy,Count correct — binary,Exactly 4 white candles standing on a dark surface,"Count the objects in this image. The prompt asked for: ""Exactly 4 white candles standing on a dark surface"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Counting,Hard,Exact count match,Exactly 9 goldfish swimming in a large round fishbowl,"Count the objects in this image. The prompt asked for: ""Exactly 9 goldfish swimming in a large round fishbowl"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Counting,Hard,Exact count match,"A fruit bowl containing exactly 3 bananas, 4 oranges, and 2 apples","Count the objects in this image. The prompt asked for: ""A fruit bowl containing exactly 3 bananas, 4 oranges, and 2 apples"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Counting,Hard,Exact count match,Exactly 11 colorful balloons floating against a clear blue sky,"Count the objects in this image. The prompt asked for: ""Exactly 11 colorful balloons floating against a clear blue sky"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Counting,Medium,Both counts correct,2 orange cats and 3 black dogs sitting together on a grassy lawn,"Count the objects in this image. The prompt asked for: ""2 orange cats and 3 black dogs sitting together on a grassy lawn"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Counting,Medium,Both counts correct,4 red roses and 2 white daisies in a glass vase on a table,"Count the objects in this image. The prompt asked for: ""4 red roses and 2 white daisies in a glass vase on a table"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Counting,Medium,Both counts correct,1 blue butterfly and 3 yellow butterflies resting on a garden fence,"Count the objects in this image. The prompt asked for: ""1 blue butterfly and 3 yellow butterflies resting on a garden fence"". How many of each object type do you see? Does the count exactly match what was requested? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Negation,Easy,Excluded element truly absent — binary,A tropical beach scene with no people,"The prompt explicitly excluded certain elements: ""A tropical beach scene with no people"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p2,Spatial Reasoning,Negation,Easy,Excluded element truly absent — binary,A cat lying on a couch without a collar,"The prompt explicitly excluded certain elements: ""A cat lying on a couch without a collar"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p3,Spatial Reasoning,Negation,Easy,Excluded element truly absent — binary,A classroom with desks and a chalkboard but no students,"The prompt explicitly excluded certain elements: ""A classroom with desks and a chalkboard but no students"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p1,Spatial Reasoning,Negation,Hard,Correct inclusion AND exclusion,"A pepperoni pizza with tomato sauce, basil, and crust but absolutely no cheese","The prompt explicitly excluded certain elements: ""A pepperoni pizza with tomato sauce, basil, and crust but absolutely no cheese"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p2,Spatial Reasoning,Negation,Hard,Correct inclusion AND exclusion,"A car body with windows, doors, and headlights but no wheels","The prompt explicitly excluded certain elements: ""A car body with windows, doors, and headlights but no wheels"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p3,Spatial Reasoning,Negation,Hard,Correct inclusion AND exclusion,"A human face with eyes, nose, and mouth but no eyebrows","The prompt explicitly excluded certain elements: ""A human face with eyes, nose, and mouth but no eyebrows"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p1,Spatial Reasoning,Negation,Medium,Excluded element absent despite strong prior,"A sandy beach with palm trees, seashells, and a beach umbrella but no water or ocean visible","The prompt explicitly excluded certain elements: ""A sandy beach with palm trees, seashells, and a beach umbrella but no water or ocean visible"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p2,Spatial Reasoning,Negation,Medium,Excluded element absent despite strong prior,"An office workspace with a desk, chair, bookshelf, and lamp but no computers or screens","The prompt explicitly excluded certain elements: ""An office workspace with a desk, chair, bookshelf, and lamp but no computers or screens"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p3,Spatial Reasoning,Negation,Medium,Excluded element absent despite strong prior,"A kitchen with pots, pans, a stove, and a cutting board but no food","The prompt explicitly excluded certain elements: ""A kitchen with pots, pans, a stove, and a cutting board but no food"". Carefully check: is the excluded element truly absent from the image? Describe what you see. Rate: PASS if excluded element is absent, FAIL if present.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Easy,Spatial relation correct — binary,A cat sitting on top of a cardboard box,"The prompt specified spatial relationships: ""A cat sitting on top of a cardboard box"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Easy,Spatial relation correct — binary,A red ball underneath a wooden chair,"The prompt specified spatial relationships: ""A red ball underneath a wooden chair"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Easy,Spatial relation correct — binary,A coffee mug next to an open book on a desk,"The prompt specified spatial relationships: ""A coffee mug next to an open book on a desk"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A landscape with a red barn in the foreground at large scale, a windmill in the midground at medium scale, and snow-capped mountains in the background at small scale, all with consistent depth perspective","The prompt specified spatial relationships: ""A landscape with a red barn in the foreground at large scale, a windmill in the midground at medium scale, and snow-capped mountains in the background at small scale, all with consistent depth perspective"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A beach scene with a sandcastle in the foreground, a surfer on the waves in the midground, and a cruise ship on the horizon in the background, sizes decreasing with distance","The prompt specified spatial relationships: ""A beach scene with a sandcastle in the foreground, a surfer on the waves in the midground, and a cruise ship on the horizon in the background, sizes decreasing with distance"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A city park with a park bench and pigeons in the foreground, a fountain in the midground, and skyscrapers in the background, each layer progressively smaller","The prompt specified spatial relationships: ""A city park with a park bench and pigeons in the foreground, a fountain in the midground, and skyscrapers in the background, each layer progressively smaller"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"Five chess pieces on a board: a king in the center, a queen to its left, a bishop to its right, a rook above the king, and a knight below the king","The prompt specified spatial relationships: ""Five chess pieces on a board: a king in the center, a queen to its left, a bishop to its right, a rook above the king, and a knight below the king"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"A desk scene: laptop in the center, coffee mug to the left, phone to the right, lamp above, and notebook below","The prompt specified spatial relationships: ""A desk scene: laptop in the center, coffee mug to the left, phone to the right, lamp above, and notebook below"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"Five animals in a field: a horse on the far left, a cow to the right of the horse, a sheep in the center, a goat to the right of the sheep, and a dog on the far right","The prompt specified spatial relationships: ""Five animals in a field: a horse on the far left, a cow to the right of the horse, a sheep in the center, a goat to the right of the sheep, and a dog on the far right"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Medium,All relations correct,"A bird perched on a branch, the branch extending from a tree next to a park bench","The prompt specified spatial relationships: ""A bird perched on a branch, the branch extending from a tree next to a park bench"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Medium,All relations correct,"A cat sitting on a pillow, the pillow placed on a wooden chair","The prompt specified spatial relationships: ""A cat sitting on a pillow, the pillow placed on a wooden chair"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Medium,All relations correct,"A candle on top of a stack of books, the books next to a potted plant","The prompt specified spatial relationships: ""A candle on top of a stack of books, the books next to a potted plant"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A person standing next to a yellow school bus, showing realistic relative scale","The prompt described specific size relationships: ""A person standing next to a yellow school bus, showing realistic relative scale"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A ladybug sitting on a large green leaf, shown at realistic proportions","The prompt described specific size relationships: ""A ladybug sitting on a large green leaf, shown at realistic proportions"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A child holding a basketball, both at correct relative sizes","The prompt described specific size relationships: ""A child holding a basketball, both at correct relative sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A group photo of an elephant, a horse, a dog, a cat, and a mouse, all standing in a line with correct real-world proportional sizes","The prompt described specific size relationships: ""A group photo of an elephant, a horse, a dog, a cat, and a mouse, all standing in a line with correct real-world proportional sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A dinner table scene with a plate, fork, knife, wine glass, salt shaker, and peppercorn, all at realistic relative sizes","The prompt described specific size relationships: ""A dinner table scene with a plate, fork, knife, wine glass, salt shaker, and peppercorn, all at realistic relative sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A farm scene with a barn, tractor, farmer, cow, chicken, and a fence post, all at correct proportional scale","The prompt described specific size relationships: ""A farm scene with a barn, tractor, farmer, cow, chicken, and a fence post, all at correct proportional scale"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,"A tiny person standing on the rim of a coffee cup, looking down into it","The prompt described specific size relationships: ""A tiny person standing on the rim of a coffee cup, looking down into it"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,A giant tabby cat walking between city skyscrapers like a kaiju,"The prompt described specific size relationships: ""A giant tabby cat walking between city skyscrapers like a kaiju"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,A miniature house sitting on the palm of someone's hand,"The prompt described specific size relationships: ""A miniature house sitting on the palm of someone's hand"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Text Rendering,Typography Style,Easy,Style + material match,"The word 'CHAPTER ONE' typed on aged paper with a vintage typewriter font, complete with slightly uneven ink","This image should show text rendered in a specific style/medium. The prompt was: ""The word 'CHAPTER ONE' typed on aged paper with a vintage typewriter font, complete with slightly uneven ink"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p2,Text Rendering,Typography Style,Easy,Style + material match,The phrase 'TODAY'S SPECIAL' written in white chalk on a dark green chalkboard with chalk dust,"This image should show text rendered in a specific style/medium. The prompt was: ""The phrase 'TODAY'S SPECIAL' written in white chalk on a dark green chalkboard with chalk dust"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p3,Text Rendering,Typography Style,Easy,Style + material match,The word 'OPEN' displayed on a red LED sign with glowing pixel-style letters,"This image should show text rendered in a specific style/medium. The prompt was: ""The word 'OPEN' displayed on a red LED sign with glowing pixel-style letters"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p1,Text Rendering,Writing accuracy,Easy,Word spelled correctly — binary yes/no,A single large word 'HELLO' centered on a white background,"Look at this image. The intended text was: ""A single large word 'HELLO' centered on a white background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
